date, pm25, pm10
2025/11/1, 8, 10
2025/11/2, 27, 7
2025/11/3, 17, 4
2025/11/4, 10, 7
2025/11/5, 16, 9
2025/11/6, 24, 15
2025/11/7, 34, 21
2025/11/8, 49, 7
2025/11/9, 17, 6
2025/11/10, 14, 8
2025/11/11, 19, 7
2025/11/12, 17, 
2025/10/1, 16, 9
2025/10/2, 24, 7
2025/10/3, 19, 9
2025/10/4, 21, 3
2025/10/5, 8, 9
2025/10/6, 20, 7
2025/10/7, 15, 4
2025/10/8, 10, 5
2025/10/9, 11, 6
2025/10/10, 10, 5
2025/10/11, 9, 3
2025/10/12, 5, 9
2025/10/13, 9, 9
2025/10/14, 12, 5
2025/10/15, 8, 10
2025/10/16, 13, 6
2025/10/17, 8, 4
2025/10/18, 9, 5
2025/10/19, 14, 6
2025/10/20, 15, 10
2025/10/21, 24, 20
2025/10/22, 53, 20
2025/10/23, 52, 14
2025/10/24, 41, 8
2025/10/25, 20, 10
2025/10/26, 26, 6
2025/10/27, 15, 8
2025/10/28, 18, 6
2025/10/29, 14, 5
2025/10/30, 15, 3
2025/10/31, 7, 3
2025/7/1, 10, 14
2025/7/2, 21, 11
2025/7/3, 19, 4
2025/7/4, 7, 6
2025/7/5, 15, 5
2025/7/6, 11, 6
2025/7/7, 13, 7
2025/7/8, 12, 11
2025/7/9, 16, 8
2025/7/10, 15, 9
2025/7/11, 19, 14
2025/7/12, 32, 15
2025/7/13, 33, 18
2025/7/14, 44, 14
2025/7/15, 35, 16
2025/7/16, 38, 10
2025/7/17, 18, 11
2025/7/18, 21, 11
2025/7/19, 23, 11
2025/7/20, 21, 14
2025/7/21, 27, 11
2025/7/22, 26, 16
2025/7/23, 37, 15
2025/7/24, 36, 13
2025/7/25, 33, 11
2025/7/26, 27, 9
2025/7/27, 21, 8
2025/7/28, 20, 9
2025/7/29, 21, 9
2025/7/30, 20, 8
2025/7/31, 20, 10
2025/8/1, 24, 7
2025/8/2, 16, 6
2025/8/3, 14, 7
2025/8/4, 18, 8
2025/8/5, 14, 9
2025/8/6, 16, 9
2025/8/7, 17, 14
2025/8/8, 27, 9
2025/8/9, 19, 8
2025/8/10, 15, 7
2025/8/11, 8, 7
2025/8/12, 11, 7
2025/8/13, 12, 9
2025/8/14, 16, 13
2025/8/15, 21, 4
2025/8/16, 5, 5
2025/8/17, 6, 8
2025/8/18, 10, 6
2025/8/19, 8, 8
2025/8/20, 7, 6
2025/8/21, 9, 4
2025/8/22, 9, 2
2025/8/23, 4, 2
2025/8/24, 5, 5
2025/8/25, 5, 5
2025/8/26, 7, 5
2025/8/27, 10, 7
2025/8/28, 15, 7
2025/8/29, 21, 7
2025/8/30, 18, 10
2025/8/31, 25, 12
2025/9/1, 31, 8
2025/9/2, 20, 7
2025/9/3, 17, 9
2025/9/4, 21, 10
2025/9/5, 25, 10
2025/9/6, 25, 8
2025/9/7, 19, 10
2025/9/8, 25, 16
2025/9/9, 35, 17
2025/9/10, 37, 15
2025/9/11, 37, 9
2025/9/12, 22, 6
2025/9/13, 12, 6
2025/9/14, 16, 6
2025/9/15, 13, 6
2025/9/16, 12, 5
2025/9/17, 11, 12
2025/9/18, 20, 9
2025/9/19, 18, 7
2025/9/20, 17, 10
2025/9/21, 25, 8
2025/9/22, 7, 12
2025/9/23, 11, 10
2025/9/24, 11, 11
2025/9/25, 17, 6
2025/9/26, 12, 7
2025/9/27, 15, 5
2025/9/28, 11, 4
2025/9/29, 9, 4
2025/9/30, 9, 6
2025/4/1, 38, 45
2025/4/2, 37, 31
2025/4/3, 21, 40
2025/4/4, 19, 25
2025/4/5, 13, 21
2025/4/6, 15, 30
2025/4/7, 14, 33
2025/4/8, 18, 48
2025/4/9, 24, 29
2025/4/10, 17, 20
2025/4/11, 11, 15
2025/4/12, 14, 13
2025/4/13, 23, 19
2025/4/14, 35, 14
2025/4/15, 16, 24
2025/4/16, 40, 13
2025/4/17, 35, 13
2025/4/18, 33, 5
2025/4/19, 13, 4
2025/4/20, 10, 5
2025/4/21, 14, 7
2025/4/22, 20, 7
2025/4/23, 18, 6
2025/4/24, 7, 13
2025/4/25, 11, 8
2025/4/26, 10, 13
2025/4/27, 13, 24
2025/4/28, 24, 22
2025/4/29, 10, 25
2025/4/30, 14, 10
2025/5/1, 18, 13
2025/5/2, 17, 4
2025/5/3, 4, 11
2025/5/4, 8, 17
2025/5/5, 10, 28
2025/5/6, 13, 16
2025/5/7, 13, 13
2025/5/8, 13, 4
2025/5/9, 10, 4
2025/5/10, 10, 8
2025/5/11, 14, 13
2025/5/12, 17, 12
2025/5/13, 20, 29
2025/5/14, 18, 18
2025/5/15, 14, 10
2025/5/16, 11, 5
2025/5/17, 10, 8
2025/5/18, 12, 20
2025/5/19, 16, 24
2025/5/20, 18, 5
2025/5/21, 11, 5
2025/5/22, 13, 6
2025/5/23, 11, 6
2025/5/24, 8, 9
2025/5/25, 19, 13
2025/5/26, 19, 18
2025/5/27, 18, 9
2025/5/28, 16, 9
2025/5/29, 14, 10
2025/5/30, 12, 7
2025/5/31, 8, 8
2025/6/1, 14, 10
2025/6/2, 18, 11
2025/6/3, 18, 18
2025/6/4, 32, 14
2025/6/5, 27, 8
2025/6/6, 19, 7
2025/6/7, 11, 5
2025/6/8, 11, 13
2025/6/9, 15, 12
2025/6/10, 25, 15
2025/6/11, 40, 16
2025/6/12, 14, 8
2025/6/13, 10, 7
2025/6/14, 10, 9
2025/6/15, 16, 15
2025/6/16, 27, 16
2025/6/17, 28, 22
2025/6/18, 23, 10
2025/6/19, 12, 4
2025/6/20, 8, 
2025/6/22, 8, 8
2025/6/23, 21, 5
2025/6/24, 13, 10
2025/6/25, 16, 12
2025/6/26, 15, 8
2025/6/27, 15, 6
2025/6/28, 13, 10
2025/6/29, 15, 9
2025/6/30, 7, 7
2025/1/1, 11, 2
2025/1/2, 6, 4
2025/1/3, 13, 3
2025/1/4, 8, 9
2025/1/5, 26, 8
2025/1/6, 26, 6
2025/1/7, 16, 5
2025/1/8, 14, 7
2025/1/9, 20, 7
2025/1/10, 19, 3
2025/1/11, 9, 3
2025/1/12, 8, 3
2025/1/13, 9, 5
2025/1/14, 12, 5
2025/1/15, 12, 2
2025/1/16, 7, 10
2025/1/17, 29, 8
2025/1/18, 25, 5
2025/1/19, 17, 6
2025/1/20, 16, 5
2025/1/21, 16, 12
2025/1/22, 36, 9
2025/1/23, 30, 8
2025/1/24, 23, 12
2025/1/25, 27, 14
2025/1/26, 31, 8
2025/1/27, 22, 10
2025/1/28, 27, 6
2025/1/29, 16, 3
2025/1/30, 7, 7
2025/1/31, 18, 9
2025/2/1, 13, 7
2025/2/2, 15, 14
2025/2/3, 20, 15
2025/2/4, 38, 11
2025/2/5, 33, 22
2025/2/6, 27, 8
2025/2/7, 23, 13
2025/2/8, 33, 16
2025/2/9, 40, 26
2025/2/10, 47, 11
2025/2/11, 35, 7
2025/2/12, 23, 14
2025/2/13, 22, 9
2025/2/14, 16, 4
2025/2/15, 13, 12
2025/2/16, 13, 15
2025/2/17, 17, 16
2025/2/18, 17, 22
2025/2/19, 30, 16
2025/2/20, 27, 31
2025/2/21, 71, 34
2025/2/22, 80, 32
2025/2/23, 74, 9
2025/2/24, 26, 14
2025/2/25, 41, 10
2025/2/26, 21, 8
2025/2/27, 21, 11
2025/2/28, 26, 9
2025/3/1, 24, 13
2025/3/2, 17, 18
2025/3/3, 22, 20
2025/3/4, 26, 13
2025/3/5, 27, 15
2025/3/6, 24, 29
2025/3/7, 39, 42
2025/3/8, 62, 35
2025/3/9, 57, 14
2025/3/10, 34, 8
2025/3/11, 10, 10
2025/3/12, 15, 12
2025/3/13, 22, 36
2025/3/14, 31, 13
2025/3/15, 16, 45
2025/3/16, 29, 47
2025/3/17, 31, 37
2025/3/18, 23, 36
2025/3/19, 26, 38
2025/3/20, 34, 19
2025/3/21, 22, 12
2025/3/22, 26, 12
2025/3/23, 26, 28
2025/3/24, 42, 26
2025/3/25, 57, 20
2025/3/26, 28, 16
2025/3/27, 25, 23
2025/3/28, 34, 24
2025/3/29, 40, 22
2025/3/30, 27, 30
2025/3/31, 30, 44
2024/10/1, 9, 5
2024/10/2, 10, 9
2024/10/3, 18, 7
2024/10/4, 18, 5
2024/10/5, 13, 5
2024/10/6, 11, 8
2024/10/7, 16, 8
2024/10/8, 22, 6
2024/10/9, 16, 6
2024/10/10, 17, 2
2024/10/11, 6, 4
2024/10/12, 10, 5
2024/10/13, 11, 8
2024/10/14, 17, 6
2024/10/15, 10, 7
2024/10/16, 12, 6
2024/10/17, 13, 14
2024/10/18, 32, 13
2024/10/19, 32, 17
2024/10/20, 43, 16
2024/10/21, 36, 11
2024/10/22, 23, 8
2024/10/23, 14, 7
2024/10/24, 17, 8
2024/10/25, 19, 12
2024/10/26, 31, 3
2024/10/27, 8, 7
2024/10/28, 16, 5
2024/10/29, 10, 8
2024/10/30, 8, 6
2024/10/31, 13, 5
2024/11/1, 8, 5
2024/11/2, 5, 4
2024/11/3, 6, 8
2024/11/4, 8, 5
2024/11/5, 12, 6
2024/11/6, 15, 11
2024/11/7, 16, 8
2024/11/8, 16, 7
2024/11/9, 17, 4
2024/11/10, 10, 8
2024/11/11, 19, 10
2024/11/12, 20, 7
2024/11/13, 17, 22
2024/11/14, 23, 11
2024/11/15, 19, 7
2024/11/16, 10, 8
2024/11/17, 10, 28
2024/11/18, 19, 11
2024/11/19, 26, 4
2024/11/20, 11, 4
2024/11/21, 9, 9
2024/11/22, 10, 14
2024/11/23, 15, 5
2024/11/24, 15, 10
2024/11/25, 23, 9
2024/11/26, 21, 4
2024/11/27, 10, 4
2024/11/28, 9, 3
2024/11/29, 9, 6
2024/11/30, 14, 7
2024/12/1, 20, 13
2024/12/2, 36, 3
2024/12/3, 8, 7
2024/12/4, 19, 10
2024/12/5, 27, 7
2024/12/6, 23, 9
2024/12/7, 29, 10
2024/12/8, 30, 8
2024/12/9, 20, 
2024/12/19, 29, 8
2024/12/20, 12, 6
2024/12/21, 17, 6
2024/12/22, 16, 8
2024/12/23, 25, 5
2024/12/24, 16, 2
2024/12/25, 6, 2
2024/12/26, 7, 5
2024/12/27, 11, 5
2024/12/28, 11, 3
2024/12/29, 6, 
2024/7/4, 20, 5
2024/7/5, 10, 6
2024/7/6, 13, 19
2024/7/7, 30, 4
2024/7/8, 8, 4
2024/7/9, 8, 5
2024/7/10, 9, 10
2024/7/11, 24, 7
2024/7/12, 15, 7
2024/7/13, 18, 4
2024/7/14, 9, 5
2024/7/15, 10, 6
2024/7/16, 13, 8
2024/7/17, 20, 4
2024/7/18, 8, 4
2024/7/19, 7, 5
2024/7/20, 11, 8
2024/7/21, 24, 9
2024/7/22, 27, 9
2024/7/23, 25, 10
2024/7/24, 17, 7
2024/7/25, 17, 5
2024/7/26, 12, 6
2024/7/27, 17, 5
2024/7/28, 11, 6
2024/7/29, 7, 5
2024/7/30, 9, 8
2024/7/31, 17, 6
2024/8/1, 9, 6
2024/8/2, 12, 5
2024/8/3, 14, 8
2024/8/4, 21, 9
2024/8/5, 23, 9
2024/8/6, 24, 7
2024/8/7, 20, 6
2024/8/8, 16, 7
