date, pm25, pm10, o3, no2, so2, co
2025/11/1, 57, 20, 12, 13, , 
2025/11/2, 57, 16, 19, 12, , 
2025/11/3, 44, 18, 13, 14, , 
2025/11/4, 46, 23, 9, 16, , 
2025/11/5, 53, 22, 12, 16, , 
2025/11/6, 57, 33, 15, 16, , 
2025/11/7, 77, 36, 9, 13, , 
2025/11/8, 90, 42, 4, 12, , 
2025/11/9, 104, 27, 9, 14, , 
2025/11/10, 69, 24, 3, 13, , 
2025/11/11, 64, 22, 6, 13, , 
2025/11/12, 60, 18, 10, 13, , 
2025/11/13, 46, 19, 21, 11, , 
2025/11/14, 54, 5, 25, 1, , 
2025/11/15, 16, , , , , 
2025/10/1, 65, 27, 21, 14, , 
2025/10/2, 62, 25, 21, 14, , 
2025/10/3, 64, 17, 22, 8, , 
2025/10/4, 48, 10, 20, 6, , 
2025/10/5, 29, 14, 21, 9, , 
2025/10/6, 37, 15, 12, 12, , 
2025/10/7, 47, 13, 8, 11, , 
2025/10/8, 44, 13, 18, 11, , 
2025/10/9, 37, 15, 17, 10, , 
2025/10/10, 44, 14, 25, 7, , 
2025/10/11, 42, 12, 27, 7, , 
2025/10/12, 37, 11, 19, 8, , 
2025/10/13, 35, 13, 12, 13, , 
2025/10/14, 42, 13, 15, 11, , 
2025/10/15, 42, 14, 13, 13, , 
2025/10/16, 44, 14, 22, 9, , 
2025/10/17, 38, 11, 25, 8, , 
2025/10/18, 28, 20, 18, 12, , 
2025/10/19, 54, 18, 17, 11, , 
2025/10/20, 46, 19, 15, 11, , 
2025/10/21, 46, 19, 9, 14, , 
2025/10/22, 51, 17, 22, 9, , 
2025/10/23, 48, 11, 19, 6, , 
2025/10/24, 24, 9, 21, 5, , 
2025/10/25, 25, 9, 23, 4, , 
2025/10/26, 25, 8, 20, 9, , 
2025/10/27, 23, 11, 22, 8, , 
2025/10/28, 32, 14, 18, 11, , 
2025/10/29, 39, 11, 17, 10, , 
2025/10/30, 30, 20, 12, 14, , 
2025/10/31, 52, 21, 9, 12, , 
2025/7/1, 33, 19, 45, 16, , 
2025/7/2, 34, 16, 37, 8, , 
2025/7/3, 36, 13, 29, 8, , 
2025/7/4, 28, 18, 40, 11, , 
2025/7/5, 39, 13, 39, 6, , 
2025/7/6, 30, 10, 31, 9, , 
2025/7/7, 26, 13, 25, 8, , 
2025/7/8, 36, 12, 23, 6, , 
2025/7/9, 33, 14, 21, 8, , 
2025/7/10, 42, 13, 26, 8, , 
2025/7/11, 33, 12, 17, 8, , 
2025/7/12, 41, 12, 21, 6, , 
2025/7/13, 38, 17, 34, 12, , 
2025/7/14, 47, 18, 26, 13, , 
2025/7/15, 50, 16, 25, 11, , 
2025/7/16, 41, 16, 14, 13, , 
2025/7/17, 47, 16, 30, 7, , 
2025/7/18, 43, 20, 37, 9, , 
2025/7/19, 48, 19, 36, 8, , 
2025/7/20, 48, 21, 29, 11, , 
2025/7/21, 50, 13, 28, 10, , 
2025/7/22, 36, 16, 21, 13, , 
2025/7/23, 47, 16, 22, 13, , 
2025/7/24, 46, 17, 23, 12, , 
2025/7/25, 48, 14, 28, 6, , 
2025/7/26, 39, 17, 36, 8, , 
2025/7/27, 46, 13, 27, 3, , 
2025/7/28, 39, 13, 22, 9, , 
2025/7/29, 34, 12, 25, 10, , 
2025/7/30, 31, 15, 19, 9, , 
2025/7/31, 38, 14, 23, 10, , 
2025/8/1, 41, 13, 24, 9, , 
2025/8/2, 37, 11, 19, 6, , 
2025/8/3, 33, 13, 21, 10, , 
2025/8/4, 38, 14, 24, 10, , 
2025/8/5, 39, 13, 21, 10, , 
2025/8/6, 32, 20, 29, 15, , 
2025/8/7, 43, 24, 37, 16, , 
2025/8/8, 46, 25, 39, 14, , 
2025/8/9, 51, 16, 32, 4, , 
2025/8/10, 42, 21, 35, 11, , 
2025/8/11, 42, 24, 35, 14, , 
2025/8/12, 44, 26, 43, 15, , 
2025/8/13, 46, 32, 47, 16, , 
2025/8/14, 53, 34, 68, 12, , 
2025/8/15, 60, 19, 33, 5, , 
2025/8/16, 48, 15, 28, 4, , 
2025/8/17, 37, 15, 29, 9, , 
2025/8/18, 27, 20, 36, 14, , 
2025/8/19, 38, 18, 32, 5, , 
2025/8/20, 42, 15, 31, 5, , 
2025/8/21, 25, 13, 24, 6, , 
2025/8/22, 27, 9, 24, 5, , 
2025/8/23, 23, 10, 24, 7, , 
2025/8/24, 29, 16, 23, 13, , 
2025/8/25, 36, 17, 26, 15, , 
2025/8/26, 38, 26, 36, 18, , 
2025/8/27, 46, 25, 23, 14, , 
2025/8/28, 66, 22, 15, 12, , 
2025/8/29, 62, 19, 26, 9, , 
2025/8/30, 50, 16, 29, 11, , 
2025/8/31, 42, 15, 31, 13, , 
2025/9/1, 39, 12, 15, 12, , 
2025/9/2, 37, 12, 23, 11, , 
2025/9/3, 30, 15, 25, 13, , 
2025/9/4, 32, 13, 22, 13, , 
2025/9/5, 34, 12, 29, 8, , 
2025/9/6, 33, 13, 27, 8, , 
2025/9/7, 36, 13, 26, 10, , 
2025/9/8, 37, 26, 29, 15, , 
2025/9/9, 60, 30, 29, 14, , 
2025/9/10, 67, 14, 23, 8, , 
2025/9/11, 41, 11, 17, 11, , 
2025/9/12, 29, 13, 20, 11, , 
2025/9/13, 36, 14, 23, 11, , 
2025/9/14, 41, 12, 14, 12, , 
2025/9/15, 33, 12, 21, 7, , 
2025/9/16, 27, 12, 20, 10, , 
2025/9/17, 34, 11, 17, 9, , 
2025/9/18, 32, 15, 19, 11, , 
2025/9/19, 42, 21, 32, 15, , 
2025/9/20, 50, 18, 28, 11, , 
2025/9/21, 47, 10, 22, 5, , 
2025/9/22, 26, 9, 26, 7, , 
2025/9/23, 23, 10, 25, 5, , 
2025/9/24, 21, 13, 24, 5, , 
2025/9/25, 22, 16, 22, 7, , 
2025/9/26, 29, 19, 24, 8, , 
2025/9/27, 39, 21, 30, 7, , 
2025/9/28, 46, 17, 16, 13, , 
2025/9/29, 45, 17, 15, 8, , 
2025/9/30, 48, 25, 14, 6, , 
2025/4/1, 40, 20, 33, 4, , 
2025/4/2, 55, 17, 28, 9, , 
2025/4/3, 34, 19, 32, 14, , 
2025/4/4, 40, 12, 33, 2, , 
2025/4/5, 32, 7, 36, 2, , 
2025/4/6, 17, 9, 32, 6, , 
2025/4/7, 22, 14, 34, 7, , 
2025/4/8, 31, 23, 33, 12, , 
2025/4/9, 46, 20, 29, 8, , 
2025/4/10, 53, 30, 31, 12, , 
2025/4/11, 64, 28, 29, 15, , 
2025/4/12, 65, 24, 33, 10, , 
2025/4/13, 55, 23, 35, 17, , 
2025/4/14, 55, 23, 30, 8, , 
2025/4/15, 53, 19, 34, 11, , 
2025/4/16, 45, 36, 33, 12, , 
2025/4/17, 62, 23, 16, 6, , 
2025/4/18, 63, 12, 18, 7, , 
2025/4/19, 40, 23, 37, 10, , 
2025/4/20, 64, 20, 32, 12, , 
2025/4/21, 57, 15, 29, 14, , 
2025/4/22, 42, 22, 32, 10, , 
2025/4/23, 62, 13, 37, 3, , 
2025/4/24, 41, 14, 36, 3, , 
2025/4/25, 39, 10, 36, 4, , 
2025/4/26, 25, 15, 38, 6, , 
2025/4/27, 36, 22, 42, 15, , 
2025/4/28, 44, 36, 32, 16, , 
2025/4/29, 56, 16, 30, 12, , 
2025/4/30, 35, 17, 39, 10, , 
2025/5/1, 40, 26, 48, 12, , 
2025/5/2, 50, 17, 26, 6, , 
2025/5/3, 48, 11, 32, 4, , 
2025/5/4, 30, 9, 30, 3, , 
2025/5/5, 20, 13, 30, 9, , 
2025/5/6, 30, 12, 31, 5, , 
2025/5/7, 27, 12, 34, 6, , 
2025/5/8, 28, 17, 33, 12, , 
2025/5/9, 38, 12, 29, 5, , 
2025/5/10, 34, 12, 34, 2, , 
2025/5/11, 34, 18, 38, 7, , 
2025/5/12, 40, 23, 39, 10, , 
2025/5/13, 44, 23, 41, 12, , 
2025/5/14, 44, 15, 35, 3, , 
2025/5/15, 28, 13, 33, 9, , 
2025/5/16, 35, 11, 34, 5, , 
2025/5/17, 31, 9, 33, 4, , 
2025/5/18, 27, 12, 27, 5, , 
2025/5/19, 37, 22, 37, 18, , 
2025/5/20, 53, 21, 36, 14, , 
2025/5/21, 45, 22, 30, 9, , 
2025/5/22, 42, 11, 24, 10, , 
2025/5/23, 27, 13, 32, 10, , 
2025/5/24, 36, 15, 27, 7, , 
2025/5/25, 44, 14, 31, 10, , 
2025/5/26, 41, 20, 31, 13, , 
2025/5/27, 47, 11, 28, 9, , 
2025/5/28, 33, 10, 30, 5, , 
2025/5/29, 31, 16, 22, 9, , 
2025/5/30, 45, 15, 31, 7, , 
2025/5/31, 41, 14, 37, 6, , 
2025/6/1, 40, 20, 33, 10, , 
