date, pm25, pm10, no2
2025/11/1, 53, 15, 12
2025/11/2, 46, 15, 12
2025/11/3, 39, 18, 14
2025/11/4, 42, 22, 16
2025/11/5, 48, 21, 15
2025/11/6, 54, 32, 17
2025/11/7, 77, 33, 14
2025/11/8, 83, 33, 14
2025/11/9, 86, 22, 15
2025/11/10, 62, 19, 13
2025/11/11, 56, 21, 14
2025/11/12, 55, 18, 14
2025/11/13, 40, 19, 12
2025/11/14, 51, 6, 3
2025/11/15, 17, , 
2025/10/1, 63, 25, 14
2025/10/2, 58, 25, 15
2025/10/3, 63, 16, 8
2025/10/4, 46, 9, 4
2025/10/5, 25, 15, 8
2025/10/6, 34, 13, 10
2025/10/7, 40, 12, 9
2025/10/8, 38, 13, 10
2025/10/9, 34, 14, 10
2025/10/10, 40, 14, 10
2025/10/11, 40, 11, 8
2025/10/12, 33, 11, 10
2025/10/13, 30, 12, 12
2025/10/14, 37, 12, 11
2025/10/15, 38, 11, 9
2025/10/16, 35, 12, 11
2025/10/17, 31, 8, 10
2025/10/18, 22, 18, 13
2025/10/19, 50, 16, 10
2025/10/20, 45, 18, 11
2025/10/21, 43, 15, 14
2025/10/22, 41, 15, 10
2025/10/23, 44, 9, 7
2025/10/24, 20, 8, 7
2025/10/25, 19, 7, 4
2025/10/26, 20, 7, 8
2025/10/27, 19, 9, 8
2025/10/28, 25, 13, 11
2025/10/29, 32, 9, 8
2025/10/30, 25, 17, 15
2025/10/31, 46, 18, 13
2025/7/1, 36, 22, 14
2025/7/2, 35, 20, 8
2025/7/3, 37, 23, 7
2025/7/4, 30, 18, 10
2025/7/5, 34, 14, 6
2025/7/6, 28, 12, 9
2025/7/7, 23, 15, 8
2025/7/8, 33, 14, 6
2025/7/9, 32, 16, 7
2025/7/10, 41, 16, 8
2025/7/11, 33, 11, 8
2025/7/12, 35, 12, 5
2025/7/13, 32, 20, 11
2025/7/14, 45, 19, 11
2025/7/15, 48, 17, 9
2025/7/16, 37, 17, 8
2025/7/17, 43, 18, 9
2025/7/18, 43, 18, 11
2025/7/19, 44, 20, 6
2025/7/20, 48, 21, 10
2025/7/21, 48, 14, 7
2025/7/22, 36, 15, 10
2025/7/23, 43, 17, 9
2025/7/24, 41, 15, 11
2025/7/25, 42, 18, 7
2025/7/26, 42, 16, 9
2025/7/27, 41, 16, 5
2025/7/28, 40, 14, 6
2025/7/29, 31, 14, 7
2025/7/30, 30, 14, 7
2025/7/31, 37, 16, 9
2025/8/1, 38, 11, 6
2025/8/2, 29, 10, 4
2025/8/3, 27, 12, 8
2025/8/4, 31, 15, 8
2025/8/5, 37, 14, 7
2025/8/6, 28, 21, 14
2025/8/7, 39, 25, 12
2025/8/8, 40, 23, 10
2025/8/9, 48, 18, 3
2025/8/10, 40, 20, 9
2025/8/11, 37, 24, 12
2025/8/12, 42, 26, 9
2025/8/13, 42, 34, 11
2025/8/14, 53, 36, 11
2025/8/15, 60, 21, 4
2025/8/16, 46, 17, 3
2025/8/17, 36, 14, 8
2025/8/18, 26, 20, 11
2025/8/19, 31, 20, 6
2025/8/20, 41, 17, 7
2025/8/21, 25, , 
2025/8/24, 23, 15, 10
2025/8/25, 28, 16, 11
2025/8/26, 31, 26, 14
2025/8/27, 43, 25, 15
2025/8/28, 64, 22, 11
2025/8/29, 60, 18, 10
2025/8/30, 50, 14, 10
2025/8/31, 39, 15, 10
2025/9/1, 36, 11, 11
2025/9/2, 33, 12, 9
2025/9/3, 28, 15, 12
2025/9/4, 31, 13, 11
2025/9/5, 32, 11, 7
2025/9/6, 29, 12, 7
2025/9/7, 33, 14, 9
2025/9/8, 36, 26, 13
2025/9/9, 59, 28, 13
2025/9/10, 63, 14, 9
2025/9/11, 38, 11, 10
2025/9/12, 25, 12, 12
2025/9/13, 32, 11, 9
2025/9/14, 30, 11, 11
2025/9/15, 27, 13, 6
2025/9/16, 25, 13, 8
2025/9/17, 31, 11, 9
2025/9/18, 29, 16, 12
2025/9/19, 41, 18, 12
2025/9/20, 43, 18, 7
2025/9/21, 40, 12, 8
2025/9/22, 25, 12, 10
2025/9/23, 25, 10, 6
2025/9/24, 21, 14, 5
2025/9/25, 21, 18, 9
2025/9/26, 28, 21, 10
2025/9/27, 40, 23, 9
2025/9/28, 46, 19, 10
2025/9/29, 43, 19, 8
2025/9/30, 46, 27, 9
2025/4/1, 39, 25, 8
2025/4/2, 53, 30, 12
2025/4/3, 39, 31, 15
2025/4/4, 42, 17, 6
2025/4/5, 34, 14, 4
2025/4/6, 20, 16, 8
2025/4/7, 23, 22, 10
2025/4/8, 32, 28, 13
2025/4/9, 45, 28, 7
2025/4/10, 53, 36, 10
2025/4/11, 60, 28, 14
2025/4/12, 60, 26, 9
2025/4/13, 50, 26, 12
2025/4/14, 50, 30, 8
2025/4/15, 54, 23, 11
2025/4/16, 46, 42, 9
2025/4/17, 62, 22, 5
2025/4/18, 54, 10, 7
2025/4/19, 33, 22, 9
2025/4/20, 60, 19, 11
2025/4/21, 49, 16, 11
2025/4/22, 35, 26, 12
2025/4/23, 61, 17, 6
2025/4/24, 40, 15, 5
2025/4/25, 38, 11, 5
2025/4/26, 27, 16, 6
2025/4/27, 33, 22, 11
2025/4/28, 41, 26, 14
2025/4/29, 46, 19, 9
2025/4/30, 31, 19, 8
2025/5/1, 35, 29, 12
2025/5/2, 49, 19, 7
2025/5/3, 45, 12, 4
2025/5/4, 27, 11, 5
2025/5/5, 20, 15, 9
2025/5/6, 28, 16, 6
2025/5/7, 28, 13, 7
2025/5/8, 26, 19, 12
2025/5/9, 32, 16, 6
2025/5/10, 34, 13, 4
2025/5/11, 33, 21, 8
2025/5/12, 40, 23, 10
2025/5/13, 39, 28, 9
2025/5/14, 39, 21, 6
2025/5/15, 31, 16, 7
2025/5/16, 34, 13, 6
2025/5/17, 28, 10, 5
2025/5/18, 25, 14, 6
2025/5/19, 34, 22, 11
2025/5/20, 47, 24, 10
2025/5/21, 40, 26, 7
2025/5/22, 40, 13, 8
2025/5/23, 24, 13, 8
2025/5/24, 28, 14, 9
2025/5/25, 37, 18, 8
2025/5/26, 39, 22, 12
2025/5/27, 44, 12, 8
2025/5/28, 28, 10, 4
2025/5/29, 25, 16, 7
2025/5/30, 41, 16, 7
2025/5/31, 40, 15, 6
2025/6/1, 40, 24, 9
2025/6/2, 53, 21, 10
2025/6/3, 42, 27, 12
2025/6/4, 53, 19, 11
2025/6/5, 39, 14, 9
2025/6/6, 27, 12, 9
2025/6/7, 29, 13, 6
2025/6/8, 31, 10, 5
2025/6/9, 28, 24, 12
2025/6/10, 61, 16, 7
2025/6/11, 42, 15, 8
2025/6/12, 33, 13, 7
2025/6/13, 27, 16, 6
2025/6/14, 40, 19, 6
2025/6/15, 49, 15, 6
2025/6/16, 36, 18, 6
2025/6/17, 42, 24, 10
2025/6/18, 51, 17, 5
2025/6/19, 36, 17, 7
2025/6/20, 33, 18, 10
2025/6/21, 36, 22, 15
2025/6/22, 45, 24, 7
2025/6/23, 41, 21, 7
2025/6/24, 36, 15, 7
2025/6/25, 37, 17, 10
2025/6/26, 34, 16, 8
2025/6/27, 37, 16, 8
2025/6/28, 41, 13, 4
2025/6/29, 30, 17, 6
2025/6/30, 36, 20, 11
2025/1/1, 52, 11, 8
2025/1/2, 28, 8, 7
2025/1/3, 23, 12, 10
2025/1/4, 36, 18, 10
2025/1/5, 58, 11, 14
2025/1/6, 34, 11, 8
2025/1/7, 19, 14, 11
2025/1/8, 30, 12, 12
2025/1/9, 39, 13, 11
2025/1/10, 41, 11, 8
2025/1/11, 30, 8, 6
2025/1/12, 20, 15, 13
2025/1/13, 41, 28, 14
2025/1/14, 58, 15, 11
2025/1/15, 48, 14, 9
2025/1/16, 44, 23, 12
2025/1/17, 64, 27, 18
2025/1/18, 74, 25, 12
2025/1/19, 73, 38, 16
2025/1/20, 96, 29, 18
2025/1/21, 79, 32, 16
2025/1/22, 78, 18, 12
2025/1/23, 55, 11, 12
2025/1/24, 35, 12, 12
2025/1/25, 25, 10, 9
2025/1/26, 33, 8, 14
2025/1/27, 23, 14, 20
2025/1/28, 36, 10, 11
2025/1/29, 27, 26, 15
2025/1/30, 38, 16, 9
2025/1/31, 32, 20, 11
2025/2/1, 54, 18, 9
2025/2/2, 49, 27, 20
2025/2/3, 61, 44, 21
2025/2/4, 89, 30, 16
2025/2/5, 73, 19, 9
2025/2/6, 56, 20, 8
2025/2/7, 56, 32, 7
2025/2/8, 83, 41, 8
2025/2/9, 102, 48, 10
2025/2/10, 114, 39, 10
2025/2/11, 90, 51, 9
2025/2/12, 125, 54, 11
2025/2/13, 138, 21, 14
2025/2/14, 60, 12, 13
2025/2/15, 40, 16, 11
2025/2/16, 47, 19, 18
2025/2/17, 39, 36, 23
2025/2/18, 56, 41, 25
2025/2/19, 67, 40, 15
2025/2/20, 79, 39, 17
2025/2/21, 95, 44, 11
2025/2/22, 83, 26, 16
2025/2/23, 67, 31, 19
2025/2/24, 55, 27, 15
2025/2/25, 62, 28, 13
2025/2/26, 75, 26, 12
2025/2/27, 61, 19, 11
2025/2/28, 56, 16, 8
2025/3/1, 40, 17, 6
2025/3/2, 50, 25, 12
2025/3/3, 51, 33, 16
2025/3/4, 63, 38, 20
2025/3/5, 59, 41, 24
2025/3/6, 66, 46, 28
2025/3/7, 77, 41, 16
2025/3/8, 79, 54, 18
2025/3/9, 118, 61, 25
2025/3/10, 130, 54, 16
2025/3/11, 126, 35, 13
2025/3/12, 80, 27, 12
2025/3/13, 54, 23, 12
2025/3/14, 52, 27, 8
2025/3/15, 72, 22, 8
2025/3/16, 60, 12, 9
2025/3/17, 23, 23, 19
2025/3/18, 36, 35, 26
2025/3/19, 56, 46, 26
2025/3/20, 67, 48, 23
2025/3/21, 79, 37, 7
2025/3/22, 70, 37, 7
2025/3/23, 79, 43, 13
2025/3/24, 82, 53, 14
2025/3/25, 101, 29, 10
2025/3/26, 60, 24, 13
2025/3/27, 59, 30, 15
2025/3/28, 65, 32, 9
2025/3/29, 69, 14, 8
2025/3/30, 35, 14, 8
2025/3/31, 38, 17, 9
2024/10/1, 45, 17, 11
2024/10/2, 50, 7, 6
2024/10/3, 21, 9, 8
2024/10/4, 26, 10, 9
2024/10/5, 29, 13, 7
2024/10/6, 39, 19, 12
2024/10/7, 53, 22, 13
2024/10/8, 53, 12, 12
2024/10/9, 30, 10, 8
2024/10/10, 25, 13, 11
2024/10/11, 31, 14, 13
2024/10/12, 40, 9, 5
2024/10/13, 26, 15, 10
2024/10/14, 33, 13, 13
2024/10/15, 35, 17, 8
2024/10/16, 47, 21, 11
2024/10/17, 53, 26, 13
2024/10/18, 61, 24, 11
2024/10/19, 59, 25, 11
2024/10/20, 63, 21, 12
2024/10/21, 53, 19, 12
2024/10/22, 46, 19, 15
2024/10/23, 49, 22, 14
2024/10/24, 57, 31, 16
2024/10/25, 72, 36, 15
2024/10/26, 86, 27, 8
2024/10/27, 72, 21, 12
2024/10/28, 57, 18, 10
2024/10/29, 53, 16, 9
2024/10/30, 44, 12, 8
2024/10/31, 34, 27, 8
2024/11/1, 72, 15, 12
2024/11/2, 39, 18, 15
2024/11/3, 54, 17, 13
2024/11/4, 53, 22, 11
2024/11/5, 63, 27, 13
2024/11/6, 71, 11, 10
2024/11/7, 35, 21, 9
2024/11/8, 62, 36, 9
2024/11/9, 92, 32, 11
2024/11/10, 87, 30, 10
2024/11/11, 79, 22, 9
2024/11/12, 64, 18, 11
2024/11/13, 51, 14, 13
2024/11/14, 44, 22, 10
2024/11/15, 52, 17, 6
2024/11/16, 54, 11, 5
2024/11/17, 38, 9, 6
2024/11/18, 23, 10, 12
2024/11/19, 32, 12, 9
2024/11/20, 34, 11, 10
2024/11/21, 33, 15, 11
2024/11/22, 46, 11, 9
2024/11/23, 32, 11, 9
2024/11/24, 27, 20, 14
2024/11/25, 44, 16, 15
2024/11/26, 45, 16, 13
