date, pm25, pm10, no2
2025/11/1, 54, 16, 13
2025/11/2, 49, 14, 13
2025/11/3, 40, 14, 14
2025/11/4, 40, 20, 18
2025/11/5, 50, 21, 18
2025/11/6, 54, 32, 22
2025/11/7, 78, 34, 16
2025/11/8, 87, 36, 13
2025/11/9, 92, 22, 15
2025/11/10, 65, 19, 15
2025/11/11, 57, 20, 14
2025/11/12, 54, 18, 15
2025/11/13, 42, 19, 13
2025/11/14, 52, 5, 3
2025/11/15, 16, , 
2025/10/1, 64, 27, 17
2025/10/2, 63, 25, 14
2025/10/3, 66, 16, 9
2025/10/4, 47, 9, 5
2025/10/5, 26, 12, 5
2025/10/6, 33, 12, 9
2025/10/7, 41, 12, 10
2025/10/8, 43, 12, 8
2025/10/9, 36, 13, 6
2025/10/10, 39, 12, 4
2025/10/11, 38, 10, 4
2025/10/12, 34, 12, 9
2025/10/13, 33, 12, 12
2025/10/14, 39, 12, 11
2025/10/15, 40, 12, 12
2025/10/16, 39, 11, 6
2025/10/17, 31, 11, 8
2025/10/18, 29, 20, 11
2025/10/19, 55, 16, 13
2025/10/20, 45, 17, 13
2025/10/21, 43, 14, 15
2025/10/22, 42, 15, 11
2025/10/23, 45, 9, 9
2025/10/24, 20, 8, 7
2025/10/25, 22, 8, 4
2025/10/26, 23, 7, 8
2025/10/27, 22, 9, 9
2025/10/28, 26, 12, 13
2025/10/29, 32, 9, 9
2025/10/30, 26, 18, 17
2025/10/31, 47, 18, 15
2025/7/1, 36, 21, 19
2025/7/2, 37, 17, 5
2025/7/3, 37, 13, 6
2025/7/4, 28, 17, 11
2025/7/5, 38, 14, 5
2025/7/6, 29, 10, 8
2025/7/7, 25, 13, 4
2025/7/8, 32, 10, 4
2025/7/9, 30, 14, 5
2025/7/10, 39, 12, 6
2025/7/11, 32, 11, 5
2025/7/12, 36, 13, 6
2025/7/13, 36, 18, 11
2025/7/14, 48, 17, 11
2025/7/15, 50, 14, 10
2025/7/16, 39, 15, 9
2025/7/17, 45, 20, 9
2025/7/18, 47, 20, 15
2025/7/19, 51, 21, 8
2025/7/20, 51, 21, 9
2025/7/21, 49, 14, 8
2025/7/22, 36, 15, 11
2025/7/23, 44, 15, 8
2025/7/24, 43, 15, 9
2025/7/25, 46, 14, 5
2025/7/26, 40, 16, 8
2025/7/27, 46, 14, 3
2025/7/28, 41, 12, 4
2025/7/29, 31, 12, 8
2025/7/30, 31, 13, 8
2025/7/31, 38, 14, 9
2025/8/1, 40, 11, 7
2025/8/2, 34, 10, 4
2025/8/3, 31, 13, 9
2025/8/4, 37, 14, 8
2025/8/5, 38, 12, 6
2025/8/6, 30, 18, 14
2025/8/7, 41, 23, 14
2025/8/8, 45, 24, 13
2025/8/9, 52, 16, 2
2025/8/10, 41, 19, 12
2025/8/11, 43, 23, 14
2025/8/12, 47, 25, 15
2025/8/13, 48, 31, 15
2025/8/14, 55, 36, 13
2025/8/15, 66, 19, 2
2025/8/16, 48, 15, 3
2025/8/17, 38, 15, 11
2025/8/18, 29, 17, 13
2025/8/19, 36, 18, 5
2025/8/20, 43, 17, 7
2025/8/21, 33, , 
2025/8/24, 32, 12, 8
2025/8/25, 30, 14, 12
2025/8/26, 36, 25, 16
2025/8/27, 46, 26, 14
2025/8/28, 68, 24, 12
2025/8/29, 63, 20, 10
2025/8/30, 48, 14, 10
2025/8/31, 41, 16, 13
2025/9/1, 40, 12, 12
2025/9/2, 36, 12, 11
2025/9/3, 29, 14, 15
2025/9/4, 32, 13, 10
2025/9/5, 35, 11, 7
2025/9/6, 32, 14, 8
